x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
12 0 161.1833 -27.7686 10.6391 0.3081 -4.9233 0.0199 1.2690 0.0223 33.8415 1.5921 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 1 0 2
12 0 161.1833 -27.7686 8.7904 0.0994 -0.3419 0.0208 2.1011 0.0452 46.2973 1.5300 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 1 0 2
12 0 161.1833 -27.7686 2.2631 0.0566 -21.9415 0.0672 3.3349 0.0897 18.9181 0.9948 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 0 0 2
12 0 161.1833 -27.7686 6.3427 0.1293 -8.1458 0.0879 2.0356 0.0655 32.3638 1.7224 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 0 0 2
12 0 161.1833 -27.7686 4.6828 0.0634 -12.4550 0.2956 11.3271 0.1486 132.9571 3.5690 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 1 0 2
12 0 161.1833 -27.7686 0.2896 0.0153 24.8789 1.9321 12.7870 1.5795 9.2813 1.6969 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 0 0 2
12 0 161.1833 -27.7686 0.5439 0.0873 4.7432 0.3323 1.5385 0.2852 2.0974 0.7878 0.0537 0.0032 -671.6340 2.4411 7 8 0 0 0 0 2
13 0 161.0937 -27.7686 5.1688 0.1264 -5.2639 0.0185 0.9667 0.0242 12.5244 0.6281 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 1.7728 0.5552 1.6026 0.4610 1.0745 0.2204 4.7749 2.7817 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 2.0831 0.2972 -21.4020 0.1610 3.3772 0.2239 17.6342 3.8514 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 3.4405 0.3100 -18.6272 0.6359 7.7486 0.4684 66.8239 10.4247 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 9.8590 0.2444 -4.2453 0.1661 5.0253 0.0942 124.1908 5.4653 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 0.5449 0.0301 -0.0964 1.0168 27.3819 0.7582 37.3996 3.1562 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 1 2
13 0 161.0937 -27.7686 1.6260 0.1666 -8.5540 0.0689 1.3756 0.1168 5.6069 1.0992 0.0535 0.0465 -823.1736 0.8501 9 8 0 0 0 0 2
13 0 161.0937 -27.7686 3.5630 0.6526 -0.2836 0.1930 0.9984 0.0943 8.9168 2.6297 0.0535 0.0465 -823.1736 0.8501 9 8 0 1 0 0 2
13 0 161.0937 -27.7686 0.2297 0.0379 9.6208 0.5547 2.2800 0.5664 1.3126 0.5968 0.0535 0.0465 -823.1736 0.8501 9 8 0 0 0 0 2
14 0 161.0041 -27.7686 4.4046 0.1539 -5.3625 0.0214 0.9188 0.0266 10.1446 0.6579 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
14 0 161.0041 -27.7686 0.9859 0.2574 -21.5870 0.1582 2.5091 0.3061 6.2005 2.5730 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
14 0 161.0041 -27.7686 3.7173 0.2513 -20.0969 0.3245 5.8498 0.3669 54.5077 7.3345 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
14 0 161.0041 -27.7686 9.2292 0.2162 -4.5833 0.1621 4.8858 0.0908 113.0285 4.7984 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
14 0 161.0041 -27.7686 1.2901 0.2060 -8.4088 0.1556 1.8054 0.2385 5.8384 1.8265 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
14 0 161.0041 -27.7686 4.2781 0.2752 -0.2239 0.1174 1.1251 0.0765 12.0657 1.6492 0.0500 0.3571 -861.8644 1.0054 10 8 1 0 0 0 2
14 0 161.0041 -27.7686 1.4074 0.3594 1.9304 0.3196 1.0367 0.1591 3.6570 1.6386 0.0500 0.3571 -861.8644 1.0054 10 8 1 0 0 0 2
14 0 161.0041 -27.7686 0.0924 0.0221 17.5226 7.6408 45.0220 5.2629 10.4270 4.0074 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 1 2
14 0 161.0041 -27.7686 1.4019 0.2627 -8.6271 0.8704 15.6813 1.1124 55.1031 14.9660 0.0500 0.3571 -861.8644 1.0054 10 8 1 1 0 0 2
